steps,price,ms
20,5.16097090579513295694,0.968459
40,5.17422788887816320624,3.707125
60,5.15838520244900244904,8.078292
80,5.17983220477140182680,13.759958
100,5.17097031708605037181,38.251667
120,5.15756121230893072038,70.201959
140,5.17199428284341600204,41.939416
160,5.17557776421085069529,53.683542
180,5.17273329404128379139,68.122458
200,5.16549689122853106227,123.749667
220,5.16692999963727839230,100.228125
240,5.17205886283809324055,158.985041
260,5.17396546109876709352,170.132959
280,5.17317586253381112016,230.323458
300,5.17062505831538654633,229.647000
320,5.16646584941366260324,257.503209
340,5.16856113365747482646,282.906125
360,5.17137598536649711889,312.403875
380,5.17284420317559590075,369.578208
400,5.17308015192305337138,428.805125
420,5.17221578344801269367,434.825083
440,5.17060945364943869151,535.076375
460,5.16827682495303708521,576.266458
480,5.16874628308355710260,675.833459
500,5.17074568070555518062,834.841375
520,5.17197179284800956367,755.593958
540,5.17253634405491258264,851.498542
560,5.17256328606063053854,955.672583
580,5.17202597318411250171,912.869458
600,5.17103890070359106801,1093.323458
620,5.16971758338249021136,1058.064833
640,5.16862423792436675996,1108.286916
660,5.17007256056642638953,1222.395791
680,5.17119819043410178239,1308.742292
700,5.17192211672508772580,1490.207292
720,5.17224973614663952048,1396.119125
740,5.17227393342866026416,1665.267042
760,5.17202122812694220499,1636.912333
780,5.17148658141436268210,1697.661292
800,5.17068638695801574556,1836.299208
820,5.16970542923697706783,1870.261583
840,5.16954722154113976984,2013.595666
860,5.17049392290373788228,2041.962541
880,5.17121067731594052930,2233.574917
900,5.17172930681180620383,2218.307583
920,5.17203193387033177686,2381.999834
940,5.17211059818899165919,2496.984166
960,5.17200148807461612677,2702.863792
980,5.17174567538243223908,2729.539167
1000,5.17132809240843371867,2916.668792
